outcome,horizon,family,fold,n,rmsle,mae,rmse,wape,median_absolute_error,r2,spearman
daly,1,pooled_ridge,cv2,326,0.0381022209203,0.441192257696,0.795993919996,0.0219250601572,0.22913968181,0.998734841814,0.997696334172
daly,1,pooled_ridge,cv3,326,0.030283757919,0.40416766099,0.72349463612,0.019612035196,0.227208020665,0.998944626284,0.998498166436
daly,1,random_forest,cv1,326,0.0398956620512,0.644819793771,1.67988210945,0.0328383235077,0.2434949959,0.994168653699,0.998066250741
daly,1,random_forest,cv2,326,0.0395079920063,0.561992061194,1.13839323947,0.0279282093796,0.300613918435,0.99741232372,0.997729931463
daly,1,random_forest,cv3,326,0.0338097012855,0.576984457056,1.23171255598,0.0279978844711,0.2413885672,0.996941176769,0.998070753471
daly,1,ridge,cv1,326,0.247066784854,4.94878832758,13.8980749378,0.252023764844,2.06579052802,0.600864348507,0.940690043339
daly,1,ridge,cv2,326,0.235497246211,4.7406385236,13.6047632262,0.23558614867,2.17131003635,0.630420984197,0.940567430543
daly,1,ridge,cv3,326,0.233104175273,4.51911301125,11.5055504159,0.219287716426,1.95491077661,0.733098851746,0.936564157405
daly,1,xgboost,cv1,326,0.0386573602352,0.579718563059,1.46998935648,0.0295229549419,0.216749719705,0.995534813492,0.998068242166
daly,1,xgboost,cv2,326,0.043372088776,0.703315751711,1.98819780349,0.0349512936748,0.2840187343,0.992106956282,0.997516051369
daly,1,xgboost,cv3,326,0.0350538391054,0.648943281012,1.89148163132,0.0314896506966,0.2199843707,0.992786601938,0.998174921287
daly,3,elastic_net,cv1,326,0.263078596586,6.36248819013,23.1134325818,0.324018349808,2.32978591264,-0.103926396968,0.934329071615
daly,3,elastic_net,cv2,326,0.255401326467,5.25602689262,12.665457048,0.261198386414,2.52069807836,0.679692533911,0.929080620511
daly,3,elastic_net,cv3,326,0.246306685428,4.87382216081,13.6837938299,0.236499801896,2.22768817655,0.622472417595,0.926685514632
daly,3,extra_trees,cv1,326,0.0691549731526,1.03564423945,2.10931504558,0.0527415890493,0.4967292241,0.990806219639,0.994394447788
daly,3,extra_trees,cv2,326,0.0734632006775,0.898000269074,1.57897601167,0.0446261455799,0.43755743235,0.995021753545,0.992660896823
daly,3,extra_trees,cv3,326,0.0620088022766,0.915803973687,1.54197368748,0.0444389333887,0.54855280645,0.9952060934,0.995023444502
daly,3,gru,cv1,326,0.0811945448879,1.13400758248,2.07153374569,0.0577508758468,0.59022015248,0.991132621465,0.991312502435
daly,3,gru,cv2,326,0.0755689528118,1.05977245714,1.82193888355,0.0526654184668,0.5502673547,0.993371840693,0.992478363085
daly,3,gru,cv3,326,0.0643405455903,1.0295595461,1.73960272785,0.0499588660931,0.58331036382,0.993898511422,0.994725225245
daly,3,hist_gradient_boosting,cv1,326,0.076668920205,1.36980543351,3.52117113999,0.0697592015669,0.56264417426,0.974379624495,0.993584649155
daly,3,hist_gradient_boosting,cv2,326,0.0743596563475,1.1368680802,2.24207728722,0.0564966873613,0.52735666271,0.989962478528,0.992846894199
daly,3,hist_gradient_boosting,cv3,326,0.0674801390311,1.15914861105,2.48493299214,0.0562471111661,0.611828561285,0.987550124542,0.993861047491
daly,3,logtrend10,cv1,326,0.0937091550901,1.15999537664,1.99213343636,0.0590743395494,0.558490117355,0.991799353848,0.987094483723
daly,3,logtrend10,cv2,326,0.0881533015495,1.13475107559,1.86687144949,0.0563914827647,0.63015129225,0.993040882699,0.989056288452
daly,3,logtrend10,cv3,326,0.0742592071507,1.10780993645,1.78768963693,0.0537559274561,0.6955978535,0.993556528858,0.992803945084
daly,3,logtrend5,cv1,326,0.0951829827281,1.27189919224,2.20574814719,0.0647731932972,0.67654858378,0.989946366029,0.988060838807
daly,3,logtrend5,cv2,326,0.0894958147019,1.1877953746,1.99709144491,0.0590275205159,0.641712577065,0.992036183741,0.989477120504
daly,3,logtrend5,cv3,326,0.0837321694707,1.19880205884,2.12986547733,0.0581712750434,0.61196408095,0.990853814802,0.99192348823
daly,3,persistence,cv1,326,0.0991965580363,1.42367644298,2.25494588408,0.0725026558682,0.789030803765,0.989492885354,0.990869156734
daly,3,persistence,cv2,326,0.0967665600162,1.33704753604,2.04900954199,0.0664446103695,0.7796531432,0.991616733147,0.990758666672
daly,3,persistence,cv3,326,0.0900806848736,1.20389850007,1.75025662458,0.0584185773252,0.816791531165,0.993823547543,0.992853475112
daly,3,pooled_ridge,cv1,326,0.0829366648414,1.17251598348,2.03666657207,0.059711968453,0.5728231948,0.991428613197,0.991526901646
